sex,height,weight,age,years_cl,date_last,grades_count,grades_first,grades_last,grades_max,grades_mean,year_last,country_AUS,country_AUT,country_BEL,country_BRA,country_CAN,country_CHE,country_CZE,country_DEU,country_DNK,country_ESP,country_FIN,country_FRA,country_GBR,country_HRV,country_ITA,country_MEX,country_NLD,country_NOR,country_POL,country_PRT,country_RUS,country_SVN,country_SWE,country_USA,country_ZAF,country_other
0,182,78,43.0,16,2011-03-08 23:00:00,85,42,42,53,44.41176470588236,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,171,68,45.0,11,2015-05-26 22:00:00,103,36,40,44,35.81553398058252,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,175,78,28.0,11,2007-04-15 22:00:00,2,44,31,44,37.5,2007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,188,83,49.0,22,2006-07-27 22:00:00,1,57,57,57,57.0,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,174,63,32.0,13,2010-04-06 22:00:00,49,49,64,66,57.204081632653065,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,183,73,41.0,13,2008-01-22 23:00:00,16,49,49,57,50.6875,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,165,58,36.0,14,2006-08-22 22:00:00,1,40,40,40,40.0,2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,185,78,45.0,17,2016-12-16 23:00:00,107,36,42,55,39.12149532710281,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,183,78,40.0,18,2016-07-11 22:00:00,166,49,44,57,44.86746987951807,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,185,78,37.0,17,2011-04-28 22:00:00,44,53,46,53,46.0,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,182,68,42.0,13,2017-07-24 22:00:00,88,40,36,53,40.0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,180,73,36.0,11,2010-04-24 22:00:00,23,29,28,36,29.82608695652174,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,169,58,26.0,13,2008-06-27 22:00:00,11,55,49,55,50.63636363636363,2008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,180,73,43.0,17,2006-10-01 22:00:00,31,46,49,49,46.096774193548384,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,182,73,29.0,11,2009-06-26 22:00:00,2,38,40,40,39.0,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,184,83,37.0,13,2006-12-07 23:00:00,11,32,46,49,40.27272727272727,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,178,68,32.0,13,2016-07-23 22:00:00,158,46,62,68,46.9746835443038,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,184,78,38.0,17,2009-06-25 22:00:00,43,55,56,66,56.55813953488372,2009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,175,73,42.0,14,2006-05-26 22:00:00,2,29,29,29,29.0,2006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,178,78,33.0,12,2007-02-10 23:00:00,11,38,40,40,33.27272727272727,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,175,78,35.0,18,2006-08-04 22:00:00,2,40,40,40,40.0,2006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,170,63,28.0,17,2008-03-25 23:00:00,16,57,62,62,59.125,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,187,78,39.0,12,2010-06-27 22:00:00,33,44,53,53,40.333333333333336,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,170,78,30.0,13,2016-10-16 22:00:00,32,51,48,57,46.5,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,188,78,46.0,27,2009-10-17 22:00:00,58,59,59,59,51.36206896551724,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,180,68,39.0,11,2007-10-23 22:00:00,10,40,33,44,37.2,2007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,170,58,28.0,16,2006-10-24 22:00:00,2,62,57,62,59.5,2006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,179,63,31.0,17,2013-06-01 22:00:00,224,58,49,68,52.5625,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,187,78,42.0,17,2008-10-03 22:00:00,14,49,44,49,44.142857142857146,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,178,68,38.0,12,2010-04-09 22:00:00,26,46,59,59,48.61538461538461,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,167,58,47.0,20,2010-11-12 23:00:00,154,44,40,53,39.54545454545455,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,171,68,38.0,15,2014-09-13 22:00:00,137,53,41,57,46.36496350364963,2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,185,63,30.0,15,2007-04-02 22:00:00,38,49,44,53,45.63157894736842,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,153,93,33.0,12,2006-08-06 22:00:00,2,32,38,38,35.0,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,184,78,28.0,13,2006-11-22 23:00:00,12,58,44,58,50.5,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,182,73,37.0,11,2006-08-11 22:00:00,3,32,36,36,33.666666666666664,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,172,68,37.0,25,2005-12-31 23:00:00,4,49,46,49,45.25,2006,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,178,68,40.0,17,2006-04-10 22:00:00,1,64,64,64,64.0,2006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,185,73,28.0,16,2007-09-11 22:00:00,4,51,49,53,51.0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,183,73,49.0,28,2015-08-23 22:00:00,77,57,42,57,46.324675324675326,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,183,73,34.0,18,2005-10-07 22:00:00,1,42,42,42,42.0,2005,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,173,58,35.0,12,2010-08-09 22:00:00,72,33,38,44,35.333333333333336,2010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,180,63,46.0,22,2006-12-29 23:00:00,31,62,53,62,54.67741935483871,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,157,40,22.0,17,2010-10-31 23:00:00,149,62,72,72,59.48993288590604,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,180,78,35.0,21,2008-08-16 22:00:00,13,53,44,53,43.84615384615385,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,171,63,38.0,19,2011-09-04 22:00:00,1,51,51,51,51.0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,189,78,41.0,20,2010-03-29 22:00:00,43,53,56,56,46.58139534883721,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,176,58,35.0,20,1996-05-08 22:00:00,2,46,45,46,45.5,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,163,48,25.0,12,2016-07-22 22:00:00,531,36,51,62,44.10922787193974,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,169,58,33.0,14,2017-06-05 22:00:00,85,57,51,66,57.25882352941176,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,159,53,34.0,12,2006-10-27 22:00:00,5,36,42,42,40.0,2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,183,83,35.0,13,2009-07-20 22:00:00,39,36,53,53,41.12820512820513,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,179,68,40.0,22,2005-03-18 23:00:00,3,62,59,62,60.0,2005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,173,63,41.0,20,2014-10-25 22:00:00,96,59,55,62,51.8125,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,176,63,36.0,13,2010-05-22 22:00:00,55,57,55,64,51.69090909090909,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,181,78,30.0,11,2017-09-10 22:00:00,841,42,51,62,46.41617122473246,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,175,73,42.0,19,2006-12-09 23:00:00,19,61,62,70,63.63157894736842,2006,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,175,83,46.0,12,2007-05-23 22:00:00,13,29,33,38,31.384615384615383,2007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,170,63,32.0,13,2017-08-28 22:00:00,732,46,53,62,45.76502732240437,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,188,73,33.0,11,2011-06-07 22:00:00,27,46,55,62,49.5925925925926,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,178,73,39.0,12,2016-10-07 22:00:00,803,46,57,62,46.11706102117061,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,171,63,25.0,20,2012-05-26 22:00:00,87,62,66,70,54.50574712643678,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,180,63,50.0,21,2008-04-13 22:00:00,16,59,57,64,57.875,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,165,48,28.0,22,2013-07-23 22:00:00,32,64,70,70,61.625,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,165,48,31.0,21,2005-09-14 22:00:00,15,62,68,70,62.13333333333333,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,180,78,31.0,13,2017-07-21 22:00:00,127,51,53,57,48.803149606299215,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,183,73,38.0,23,2013-06-17 22:00:00,83,64,57,64,53.57831325301205,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,178,83,35.0,15,2011-10-28 22:00:00,88,33,29,51,38.06818181818182,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,169,58,27.0,13,2006-08-30 22:00:00,5,44,49,49,47.0,2006,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,189,83,34.0,17,2012-04-13 22:00:00,69,42,42,59,45.130434782608695,2012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,170,63,33.0,13,2010-03-14 23:00:00,75,49,57,64,54.48,2010,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,191,83,27.0,12,2017-08-26 22:00:00,147,51,51,62,52.8843537414966,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,175,58,28.0,12,2008-07-29 22:00:00,16,44,49,51,45.375,2008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,186,78,34.0,15,2008-11-08 23:00:00,35,46,51,57,46.94285714285714,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,165,73,28.0,14,2013-03-08 23:00:00,37,38,55,59,50.891891891891895,2013,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,190,78,37.0,20,2015-12-31 23:00:00,129,44,36,53,35.55038759689923,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,172,68,33.0,11,2006-12-25 23:00:00,16,33,42,42,34.9375,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,180,68,36.0,17,2016-12-20 23:00:00,223,55,55,62,45.937219730941706,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,175,68,36.0,14,2008-05-12 22:00:00,58,33,36,48,36.93103448275862,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,175,58,32.0,14,2010-08-12 22:00:00,8,53,57,64,55.625,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,183,63,28.0,13,2006-04-22 22:00:00,6,29,29,29,29.0,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,183,73,32.0,15,2017-07-15 22:00:00,91,55,52,62,50.92307692307692,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,172,63,42.0,25,2011-07-13 22:00:00,19,55,36,55,44.42105263157895,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
